pauta,url,voto
CMC Nº 1/2020 - PRELIMINAR À CMC Nº 1/2020 - QUÓRUM DE VOTAÇÃO,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=CMC&Numero=0&Ano=0,Sim
CMC Nº 1/2020 - PARECER DA CCJ À CMC Nº 1/2020,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=CMC&Numero=0&Ano=0,Sim
MPV  Nº 897/2019 - REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Não
MPV  Nº 897/2019 - REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Não
MPV  Nº 897/2019 - PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Sim
MPV  Nº 897/2019 - PARECER DA C.M P/ NÃO ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Sim
MPV  Nº 897/2019 - REQUERIMENTO DE RETIRADA DE PAUTA,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Não
MPV  Nº 897/2019 - DTQ 1 - PT - DESTAQUE DE PREFERÊNCIA PARA A MPV Nº 897/2019,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Não
MPV  Nº 897/2019 - VOTAÇÃO DA ADMISSIBILIDADE DO DESTAQUE SIMPLES,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Sim
MPV  Nº 897/2019 - PROJETO DE LEI DE CONVERSÃO Nº 30/2019,http://www.camara.leg.br/sileg/Prop_Lista.asp?Sigla=MPV&Numero=897&Ano=2019,Sim
